hour,G01_B01,G02_B01,G03_B01,G04_B01,G05_B02,G06_B02,G07_B02,G08_B02,G09_B07,G10_B07,G11_B07,G12_B13,G13_B13,G14_B13,G15_B14,G16_B15,G17_B15,G18_B15,G19_B15,G20_B15,G21_B15,G22_B16,G23_B18,G24_B21,G25_B22,G26_B22,G27_B22,G28_B22,G29_B22,G30_B22,G31_B23,G32_B23,G33_B23
12,16.000000000152,16.000000000152,69.8750000114454,69.8750000114454,16.0000000001519,16.0000000001519,69.8750000023532,69.8750000023532,25.0000000006184,25.0000000006184,25.0000000006184,69.0000000005516,69.0000000005516,69.0000000005516,0,2.40000000042734,2.40000000042734,2.40000000042734,2.40000000042734,2.40000000042734,154.999999994924,154.999999994919,399.999999998784,399.999999998784,49.9999999990903,49.9999999990903,49.9999999990903,49.9999999990903,49.9999999990903,49.9999999990903,154.999999994903,154.999999994903,349.999999994387
13,16.0000000001507,16.0000000001507,55.6250000084628,55.6250000084628,16.0000000001507,16.0000000001507,55.6250000085393,55.6250000085393,25.0000000005966,25.0000000005966,25.0000000005966,69.0000000005349,69.0000000005349,69.0000000005349,0,2.40000000041876,2.40000000041876,2.40000000041876,2.40000000041876,2.40000000041876,154.999999993803,154.999999993801,399.999999998711,399.999999998711,49.9999999990464,49.9999999990464,49.9999999990464,49.9999999990464,49.9999999990464,49.9999999990464,154.999999993792,154.999999993792,349.999999993016
14,16.0000000001503,16.0000000001503,48.5000000083509,48.5000000083508,16.0000000001504,16.0000000001504,48.5000000100028,48.5000000100029,25.0000000005912,25.0000000005912,25.0000000005912,69.0000000005306,69.0000000005306,69.0000000005306,0,2.40000000041626,2.40000000041626,2.40000000041626,2.40000000041626,2.40000000041626,154.999999993312,154.999999993315,399.999999998687,399.999999998687,49.9999999990336,49.9999999990336,49.9999999990336,49.9999999990336,49.9999999990336,49.9999999990336,154.999999993321,154.999999993321,349.999999992399
15,16.0000000001511,16.0000000001511,62.7500000126192,62.7500000126193,16.0000000001512,16.0000000001512,62.7500000033109,62.7500000033109,25.0000000006044,25.0000000006044,25.0000000006044,69.0000000005415,69.0000000005415,69.0000000005415,0,2.40000000042232,2.40000000042232,2.40000000042232,2.40000000042232,2.40000000042232,154.999999994195,154.999999994187,399.999999998737,399.999999998737,49.9999999990606,49.9999999990606,49.9999999990606,49.9999999990606,49.9999999990606,49.9999999990606,154.999999994127,154.999999994127,349.999999993512
16,16.0000000002078,16.0000000002078,75.999999999441,75.999999999441,16.0000000002078,16.0000000002078,75.999999999441,75.999999999441,45.3333333053157,45.3333333053158,45.3333333053158,69.0000000272686,69.0000000272686,69.0000000272686,0,2.40000000180949,2.40000000180949,2.40000000180949,2.40000000180949,2.40000000180949,154.999999999495,154.999999999495,399.999999999614,399.999999999614,49.999999999651,49.999999999651,49.999999999651,49.999999999651,49.999999999651,49.999999999651,154.999999999495,154.999999999495,349.99999999949
17,16.0000000002106,16.0000000002106,75.9999999994637,75.9999999994637,16.0000000002106,16.0000000002106,75.9999999994638,75.9999999994638,59.3509575179695,59.3509575179695,59.3509575179695,92.982375814104,92.9823758141038,92.9823758141039,0,2.40000000206274,2.40000000206274,2.40000000206274,2.40000000206274,2.40000000206274,154.999999999513,154.999999999513,399.999999999625,399.999999999625,49.9999999996596,49.9999999996596,49.9999999996596,49.9999999996596,49.9999999996596,49.9999999996596,154.999999999513,154.999999999513,349.999999999509
18,16.0000000002126,16.0000000002126,75.9999999994764,75.9999999994764,16.0000000002126,16.0000000002126,75.9999999994765,75.9999999994765,66.1804418305395,66.1804418305395,66.1804418305395,143.152891501159,143.152891501159,143.152891501159,0,2.40000000225666,2.40000000225666,2.40000000225666,2.40000000225666,2.40000000225666,154.999999999524,154.999999999524,399.999999999631,399.999999999631,49.9999999996648,49.9999999996648,49.9999999996648,49.9999999996648,49.9999999996648,49.9999999996648,154.999999999524,154.999999999524,349.99999999952
19,16.0000000002132,16.0000000002132,75.9999999994805,75.9999999994805,16.0000000002133,16.0000000002133,75.9999999994805,75.9999999994805,68.4569366011449,68.4569366011449,68.4569366011449,159.876396730415,159.876396730415,159.876396730415,0,2.40000000232957,2.40000000232957,2.40000000232957,2.40000000232957,2.40000000232957,154.999999999527,154.999999999527,399.999999999633,399.999999999633,49.9999999996664,49.9999999996664,49.9999999996664,49.9999999996664,49.9999999996664,49.9999999996664,154.999999999527,154.999999999527,349.999999999523
20,16.0000000002119,16.0000000002119,75.9999999994723,75.9999999994723,16.0000000002119,16.0000000002119,75.9999999994723,75.9999999994723,63.9039470602329,63.9039470602329,63.9039470602328,126.429386271601,126.429386271601,126.429386271602,0,2.40000000218512,2.40000000218512,2.40000000218512,2.40000000218512,2.40000000218512,154.99999999952,154.99999999952,399.999999999629,399.999999999629,49.9999999996631,49.9999999996631,49.9999999996631,49.9999999996631,49.9999999996631,49.9999999996631,154.99999999952,154.99999999952,349.999999999516
21,16.0000000002078,16.0000000002078,75.9999999994406,75.9999999994406,16.0000000002078,16.0000000002078,75.9999999994406,75.9999999994406,45.3333333055595,45.3333333055595,45.3333333055595,69.0000000270269,69.0000000270269,69.0000000270269,0,2.40000000180892,2.40000000180892,2.40000000180892,2.40000000180892,2.40000000180892,154.999999999495,154.999999999495,399.999999999614,399.999999999614,49.999999999651,49.999999999651,49.999999999651,49.999999999651,49.999999999651,49.999999999651,154.999999999495,154.999999999495,349.99999999949
22,16.0000000001513,16.0000000001513,20.0000000166248,20.0000000166248,16.0000000001512,16.0000000001512,20.0000000272173,20.0000000272173,25.000000000592,25.000000000592,25.000000000592,69.0000000005344,69.0000000005344,69.0000000005344,0,2.40000000041791,2.40000000041791,2.40000000041791,2.40000000041791,2.40000000041791,154.999999982055,154.999999982511,399.999999998633,399.999999998633,49.9999999990188,49.9999999990188,49.9999999990188,49.9999999990188,49.9999999990188,49.9999999990188,154.9999999829,154.9999999829,349.999999984498
23,16.0000000001461,16.0000000001461,15.2000000075048,15.2000000075048,16.0000000001461,16.0000000001461,15.2000000075065,15.2000000075065,25.0000000005305,25.0000000005305,25.0000000005305,69.0000000004813,69.0000000004813,69.0000000004813,0,2.40000000038551,2.40000000038551,2.40000000038551,2.40000000038551,2.40000000038551,113.80484921159,113.804849214281,399.999999998244,399.999999998244,49.9999999988131,49.9999999988131,49.9999999988131,49.9999999988131,49.9999999988131,49.9999999988131,113.804849218281,113.804849218281,248.980603112629
24,16.0000000001452,16.0000000001452,15.2000000058263,15.2000000058263,16.0000000001452,16.0000000001452,15.2000000058243,15.2000000058243,25.0000000005191,25.0000000005191,25.0000000005191,69.0000000004719,69.0000000004719,69.0000000004719,0,2.40000000037957,2.40000000037957,2.40000000037957,2.40000000037957,2.40000000037957,73.8342167297828,73.834216732914,399.999999998101,399.999999998101,49.9999999987516,49.9999999987516,49.9999999987516,49.9999999987516,49.9999999987516,49.9999999987516,73.8342167754567,73.8342167754568,180.863132968924
